date,open,high,low,close,volume,returns_1d,returns_5d,volatility_5d,avg_volume_10d,sma_20,sma_50,above_20ma,candle_body_ratio,rsi_14,atr_14,resistance_distance,support_distance,sr_band_width,label,symbol
2022-09-21,125.3,126.25,123.25,124.05,11156865,-0.01742574257425744,-0.01742574257425744,0.01434466000962105,13527010.1,126.7375,126.054,0,-0.41666652777782404,43.780615203029605,2.9925975094947774,1.2301491334139458,-0.007255139056831969,1.222893994357114,0,ONGC
2022-09-22,123.55,124.0,121.4,121.9,11366882,-0.017331721080209528,-0.029844807003581386,0.015676362121404053,13200748.6,126.3875,126.11300000000001,0,-0.6346151405326363,38.91055321297588,2.9681262588165787,1.2694831829368332,0.007793273174733411,1.2772764561115668,0,ONGC
2022-09-23,121.5,122.35,120.85,121.85,10407849,-0.00041017227235451426,-0.020498392282958244,0.01564753218285632,13008799.4,126.00749999999998,126.198,0,0.2333331777778777,38.80245263038174,2.8632600974725375,1.2704144439885103,0.007386130488305224,1.2778005744768157,0,ONGC
2022-09-26,120.65,122.05,116.25,117.0,12848954,-0.03980303652031181,-0.054163298302344454,0.0224862568154671,12943674.6,125.38249999999998,126.179,0,-0.6293102363258226,30.07445199406982,3.073027233367356,1.3645299145299143,-0.00512820512820508,1.3594017094017092,1,ONGC
2022-09-27,117.85,121.25,117.35,117.95,14465123,0.00811965811965809,-0.06574257425742569,0.01844323888349348,13305569.1,124.84,126.12799999999999,0,0.025641019066407516,33.24201569160982,3.157096716698259,1.3454853751589655,0.002967359050445176,1.3484527342094106,0,ONGC
2022-09-28,117.45,117.45,115.15,116.15,15267018,-0.015260703688003363,-0.06368399838774685,0.01834939613726553,13972475.3,124.08000000000001,126.05300000000001,0,-0.5652171455577623,30.429364101809668,3.131589808362669,1.3818338355574684,0.0,1.3818338355574684,1,ONGC
2022-09-29,117.05,121.45,117.05,120.0,20597761,0.03314679294016343,-0.015586546349466768,0.027118293515524458,14951204.1,123.69750000000002,125.991,0,0.6704543930785468,41.77679625758002,3.2864762506224783,1.3054166666666664,-0.00791666666666669,1.2974999999999999,1,ONGC
2022-09-30,118.95,125.45,118.95,120.15,33530494,0.0012499999999999734,-0.013951579811243286,0.02716562685864865,16213295.6,123.415,125.969,0,0.18461535621302255,42.17254624051739,3.5160136612923014,1.3025384935497293,-0.0066583437369953985,1.295880149812734,1,ONGC
2022-10-03,124.8,127.95,123.75,125.45,50966493,0.04411152725759471,0.07222222222222219,0.0241156565670663,19368802.1,123.36749999999999,125.96599999999998,1,0.15476186791384222,54.055570049364306,3.8220126854857086,1.2052610601833398,-0.003188521323236281,1.2020725388601035,0,ONGC
2022-10-04,127.85,127.95,124.9,126.9,14137567,0.011558389796731738,0.07587961000423915,0.023944712125313815,19474500.6,123.45250000000001,125.98100000000001,1,-0.3114753077130104,56.67842315994905,3.7668689222367293,1.1800630417651692,0.008274231678487088,1.1883372734436561,0,ONGC
