date,open,high,low,close,volume,returns_1d,returns_5d,volatility_5d,avg_volume_10d,sma_20,sma_50,above_20ma,candle_body_ratio,rsi_14,atr_14,resistance_distance,support_distance,sr_band_width,label,symbol,symbol_encoded
2022-09-21,125.3,126.25,123.25,124.05,11156865,-0.0174257425742574,-0.0174257425742574,0.014344660009621,13527010.1,126.7375,126.054,0,-0.416666527777824,43.780615203029605,2.992597509494777,1.2301491334139458,-0.0072551390568319,1.222893994357114,0,ONGC,0
2022-09-22,123.55,124.0,121.4,121.9,11366882,-0.0173317210802095,-0.0298448070035813,0.015676362121404,13200748.6,126.3875,126.113,0,-0.6346151405326363,38.91055321297588,2.9681262588165787,1.2694831829368332,0.0077932731747334,1.2772764561115668,0,ONGC,0
2022-09-23,121.5,122.35,120.85,121.85,10407849,-0.0004101722723545,-0.0204983922829582,0.0156475321828563,13008799.4,126.00749999999998,126.198,0,0.2333331777778777,38.80245263038174,2.863260097472537,1.2704144439885103,0.0073861304883052,1.2778005744768155,0,ONGC,0
2022-09-26,120.65,122.05,116.25,117.0,12848954,-0.0398030365203118,-0.0541632983023444,0.0224862568154671,12943674.6,125.38249999999998,126.179,0,-0.6293102363258226,30.07445199406982,3.073027233367356,1.3645299145299143,-0.005128205128205,1.3594017094017092,1,ONGC,0
2022-09-27,117.85,121.25,117.35,117.95,14465123,0.008119658119658,-0.0657425742574256,0.0184432388834934,13305569.1,124.84,126.128,0,0.0256410190664075,33.24201569160982,3.157096716698259,1.3454853751589655,0.0029673590504451,1.3484527342094106,0,ONGC,0
2022-09-28,117.45,117.45,115.15,116.15,15267018,-0.0152607036880033,-0.0636839983877468,0.0183493961372655,13972475.3,124.08,126.053,0,-0.5652171455577623,30.429364101809668,3.131589808362669,1.3818338355574684,0.0,1.3818338355574684,1,ONGC,0
2022-09-29,117.05,121.45,117.05,120.0,20597761,0.0331467929401634,-0.0155865463494667,0.0271182935155244,14951204.1,123.69750000000002,125.991,0,0.6704543930785468,41.77679625758002,3.2864762506224783,1.3054166666666664,-0.0079166666666666,1.2975,1,ONGC,0
2022-09-30,118.95,125.45,118.95,120.15,33530494,0.0012499999999999,-0.0139515798112432,0.0271656268586486,16213295.6,123.415,125.969,0,0.1846153562130225,42.17254624051739,3.5160136612923014,1.3025384935497293,-0.0066583437369953,1.295880149812734,1,ONGC,0
2022-10-03,124.8,127.95,123.75,125.45,50966493,0.0441115272575947,0.0722222222222221,0.0241156565670663,19368802.1,123.3675,125.96599999999998,1,0.1547618679138422,54.05557004936431,3.8220126854857086,1.2052610601833398,-0.0031885213232362,1.2020725388601037,0,ONGC,0
2022-10-04,127.85,127.95,124.9,126.9,14137567,0.0115583897967317,0.0758796100042391,0.0239447121253138,19474500.6,123.4525,125.981,1,-0.3114753077130104,56.67842315994905,3.766868922236729,1.1800630417651692,0.008274231678487,1.188337273443656,0,ONGC,0
