date,open,high,low,close,volume,returns_1d,returns_5d,volatility_5d,avg_volume_10d,sma_20,sma_50,above_20ma,candle_body_ratio,rsi_14,atr_14,resistance_distance,support_distance,sr_band_width,label,symbol
2021-09-15,13.55,13.75,13.4,13.6,5683208,0.0036900369003689537,0.0625,0.055240998971408,8391778.3,12.992500000000001,13.457,1,0.14285673469504084,56.10678819118505,0.4516648023513863,3.176470588235294,0.0772058823529411,3.2536764705882355,1,UCOBANK
2021-09-16,13.6,14.55,13.6,14.35,20860581,0.05514705882352944,0.12109375,0.05737190150584928,10248808.9,13.055000000000001,13.444,1,0.7894728531864694,65.1745784137612,0.48726017361200163,2.9581881533101044,0.12543554006968635,3.083623693379791,0,UCOBANK
2021-09-17,14.45,14.55,13.75,13.9,10882514,-0.03135888501742157,-0.021126760563380254,0.03566909066081451,11112087.1,13.102500000000001,13.43,1,-0.6874991406260722,57.49916814009141,0.5095987326397159,3.0863309352517985,0.09712230215827335,3.1834532374100717,0,UCOBANK
2021-09-20,13.75,13.9,13.55,13.65,4298069,-0.017985611510791366,-0.010869565217391353,0.034186954044775314,11240180.2,13.142500000000002,13.414000000000001,1,-0.28571346939008674,53.71450586134448,0.49819882316545044,3.161172161172161,0.08058608058608056,3.241758241758242,0,UCOBANK
2021-09-21,13.65,13.75,13.15,13.45,8325301,-0.014652014652014711,-0.0073800738007381295,0.033804711136014506,11864855.7,13.1875,13.395,1,-0.3333327777787057,50.83195453262085,0.5054703357964897,3.2230483271375463,0.06691449814126384,3.2899628252788107,0,UCOBANK
2021-09-22,13.4,13.55,13.3,13.4,2749803,-0.0037174721189590088,-0.014705882352941124,0.033708217106521346,11993574.9,13.227500000000001,13.377,1,0.0,50.107990249389196,0.487222454668169,3.2388059701492535,0.0634328358208955,3.3022388059701493,0,UCOBANK
2021-09-23,13.55,13.65,13.4,13.45,2995060,0.003731343283581934,-0.06271777003484325,0.013514162028199446,12156866.6,13.267500000000002,13.360999999999999,1,-0.3999984000064057,50.86166753992349,0.47027799362044265,3.2230483271375463,0.06691449814126384,3.2899628252788107,0,UCOBANK
2021-09-24,13.5,13.55,13.3,13.35,2593443,-0.0074349442379182396,-0.039568345323741094,0.008663786634007157,7346541.7,13.304999999999998,13.342,1,-0.5999976000096015,49.258959755882394,0.45454385121898244,3.2546816479400746,0.059925093632958726,3.3146067415730336,0,UCOBANK
2021-09-27,13.5,13.5,13.15,13.2,3882285,-0.011235955056179803,-0.03296703296703307,0.0071072264396817965,6813289.0,13.330000000000002,13.324000000000002,0,-0.8571404081702654,46.8730035015569,0.44707643327476937,3.3030303030303028,0.049242424242424136,3.3522727272727275,0,UCOBANK
2021-09-28,13.3,13.45,13.15,13.2,3515426,0.0,-0.018587360594795488,0.005908694098018041,6578569.0,13.342500000000001,13.306999999999999,0,-0.33333222222593184,46.8730035015569,0.4365709737551429,3.3030303030303028,0.049242424242424136,3.3522727272727275,0,UCOBANK
2021-09-29,13.1,13.85,13.05,13.35,8088568,0.011363636363636465,-0.003731343283582156,0.008972496805323386,6819105.0,13.37,13.293,0,0.3124996093754887,49.69870186695559,0.4625301899154898,3.2546816479400746,0.059925093632958726,3.3146067415730336,1,UCOBANK
2021-09-30,13.5,14.25,13.5,13.65,14370338,0.022471910112359605,0.014869888475836479,0.013871290067240409,6170080.7,13.4125,13.288999999999998,1,0.19999973333368937,54.86883535544167,0.49377803349295485,3.161172161172161,0.08058608058608056,3.241758241758242,0,UCOBANK
2021-10-01,13.55,13.7,13.4,13.65,6933316,0.0,0.022471910112359605,0.012827873509070971,5775160.9,13.455000000000002,13.29,1,0.33333222222592596,54.86883535544167,0.47993674538631514,3.161172161172161,0.08058608058608056,3.241758241758242,1,UCOBANK
